date,Price_Monthly_Avg,TAVG_Monthly_Avg
5/31/2017,1407.634516,82.22712494
6/30/2017,1465.381667,79.98183862
7/31/2017,1347.102258,75.85271377
8/31/2017,1475.380968,74.69459805
9/30/2017,1398.808333,78.57571429
10/31/2017,1488.232258,80.9562724
11/30/2017,1560.460667,62.43333333
12/31/2017,1237.215161,81.51897081
1/31/2018,1385.267742,82.10560676
2/28/2018,1516.285,84.64988662
3/31/2018,1696.224839,83.13315412
4/30/2018,1837.315,83.3537963
5/31/2018,1887.697097,81.0656042
6/30/2018,1687.531667,79.33271164
7/31/2018,1672.743226,78.20741167
8/31/2018,1611.194516,78.10116487
9/30/2018,1463.392,78.74550265
10/31/2018,1583.439032,80.31843318
11/30/2018,1602.36,82.19210317
12/31/2018,1424.778065,80.53339734
1/31/2019,1606.238387,84.13143881
2/28/2019,1611.287857,84.49034864
3/31/2019,1490.651613,81.46830517
4/30/2019,1631.792,83.83092593
5/31/2019,1642.957419,81.89539171
6/30/2019,1605.153333,79.86558201
7/31/2019,1792.91,78.67777778
8/31/2019,1557.527097,78.08360215
9/30/2019,1613.082667,78.82287037
10/31/2019,1806.814516,79.36702509
11/30/2019,1763.764333,82.25861111
12/31/2019,1656.09129,77.45334101
1/31/2020,1847.342258,82.88530466
2/29/2020,1873.248621,82.92939245
3/31/2020,1659.560645,84.53490783
4/30/2020,1589.169,83.45030423
5/31/2020,1494.185806,83.25520993
6/30/2020,1634.128333,80.33771164
7/31/2020,1559.357419,78.30197133
8/31/2020,1591.038387,78.25582437
9/30/2020,1802.457,78.93347884
10/31/2020,1626.620323,80.25394265
11/30/2020,1650.729667,82.01175926
12/31/2020,1708.336452,82.48796723
1/31/2021,1542.842903,82.79102663
2/28/2021,1718.1725,75.1853458
3/31/2021,1826.99129,82.87570405
4/30/2021,1657.833,83.88128307
5/31/2021,1556.685806,83.11497696
6/30/2021,1735.238,80.97936508
7/31/2021,1651.490323,79.03394777
8/31/2021,1763.06,78.87617768
9/30/2021,1875.935,78.86732804
10/31/2021,1739.320968,80.71321045
11/30/2021,1755.105667,79.26625661
12/31/2021,1692.562258,80.76701229
1/31/2022,1671.434194,83.73973374
2/28/2022,1822.103571,81.59221939
3/31/2022,1826.185161,84.12443676
4/30/2022,1636.899333,82.8539418
5/31/2022,1679.534516,81.9874936
6/30/2022,1702.639333,79.72920635
7/31/2022,1517.136774,78.47401434
8/31/2022,1684.613226,76.80299539
9/30/2022,1632.44,75.11251323
10/31/2022,1520.81,79.953085
11/30/2022,1747.034333,81.75898148
12/31/2022,1663.604839,82.03063236
1/31/2023,1721.316774,83.08498464
2/28/2023,1848.115,83.98021542
3/31/2023,1980.32,83.0906426
4/30/2023,1788.174667,83.26316138
5/31/2023,2061.129355,82.56378648
6/30/2023,2291.093667,79.5559127
7/31/2023,2268.266452,79.18817204
8/31/2023,2555.285161,78.19614695
9/30/2023,2537.735,79.18857143
10/31/2023,2619.853871,80.77860983
11/30/2023,3003.849333,82.44203704
12/31/2023,2332.180968,82.81084229
1/31/2024,3353.316452,84.09463646
2/29/2024,4084.201724,85.90076628
3/31/2024,4797.049032,73.80197133
4/30/2024,7242.825,84.93398148
5/31/2024,5509.488065,80.91155914
6/30/2024,5586.749,78.25441799
7/31/2024,5315.684839,78.85659242
8/31/2024,4820.096774,74.98091398
9/30/2024,4495.275667,79.02993386
10/31/2024,4884.055484,79.96463134
11/30/2024,5551.087667,70.95654762
